Deviation_ID,Department,Category,Severity,Status,Date_Opened,Date_Closed,Owner
DEV086,IT,System,Low,Open,2025-05-01,,User14
DEV087,QC,Equipment,High,Open,2025-12-09,,User16
DEV088,QC,Documentation,Low,Open,2025-05-29,,User16
DEV089,QA,Equipment,Low,In Progress,2025-09-14,,User13
DEV090,Manufacturing,Equipment,Medium,Open,2025-03-27,,User18
DEV091,Warehouse,Documentation,High,In Progress,2025-08-25,,User16
DEV092,Warehouse,System,High,In Progress,2025-07-31,,User13
DEV093,IT,Training,High,In Progress,2025-09-11,,User20
DEV094,Engineering,Process,High,In Progress,2025-09-19,,User1
DEV095,Engineering,Equipment,Critical,In Progress,2025-10-16,,User19
DEV096,IT,Data Integrity,Critical,In Progress,2025-06-19,,User20
DEV097,Manufacturing,Data Integrity,Medium,Open,2025-03-18,,User19
DEV098,Engineering,Process,Low,Open,2025-02-03,,User9
DEV099,IT,Equipment,Medium,Closed,2025-05-11,2025-06-15,User12
DEV100,QA,System,Critical,In Progress,2025-08-27,,User11
