CC_ID,System_Name,Department,Priority,Status,Change_Type,Initiator,Approval_Date,Implementation_Date
CC-2025-039,TrackWise,QA,High,Implemented,Equipment,M Parmar,2025-04-25,2025-05-13
CC-2025-040,DMS,Engineering,Low,Closed,System,C Chaudhari,2025-04-28,2025-05-05
CC-2025-041,eBMR,Engineering,Low,Closed,System,M Parmar,2025-05-01,2025-05-24
CC-2025-042,TrackWise,QC,Critical,In Progress,System,P Modi,2025-05-04,2025-05-31
CC-2025-043,QMS,QC,Critical,Closed,Process,R Shah,2025-05-07,2025-05-23
CC-2025-044,SAP,QA,Medium,Open,System,K Raman,2025-05-10,2025-06-01
CC-2025-045,QMS,Production,High,In Progress,Process,A Patel,2025-05-13,2025-06-01
CC-2025-046,eBMR,QA,Medium,Approved,Documentation,R Shah,2025-05-16,2025-06-02
CC-2025-047,MES,Warehouse,Low,Implemented,System,R Shah,2025-05-19,2025-05-29
CC-2025-048,LIMS,IT,Medium,Open,Process,K Raman,2025-05-22,2025-06-08
CC-2025-049,eBMR,QA,High,Open,Equipment,K Raman,2025-05-25,2025-06-11
CC-2025-050,TrackWise,Warehouse,High,Implemented,Documentation,A Patel,2025-05-28,2025-06-03
CC-2026-051,eBMR,QA,Critical,Closed,Equipment,K Raman,2025-05-31,2025-06-07
CC-2026-052,MES,QC,Critical,In Progress,Documentation,K Raman,2025-06-03,2025-06-14
CC-2026-053,TrackWise,QA,High,In Progress,Process,A Patel,2025-06-06,2025-06-22
CC-2026-054,TrackWise,QA,Critical,Open,System,A Patel,2025-06-09,2025-06-18
CC-2026-055,DMS,QC,Low,Open,Equipment,P Modi,2025-06-12,2025-06-20
CC-2026-056,ERP,Warehouse,High,In Progress,Documentation,M Parmar,2025-06-15,2025-06-20
CC-2026-057,DMS,QC,Medium,Open,Process,C Chaudhari,2025-06-18,2025-07-03
CC-2026-058,eBMR,QA,Low,Approved,Process,K Raman,2025-06-21,2025-07-03
CC-2026-059,MES,Warehouse,High,Approved,Equipment,A Patel,2025-06-24,2025-06-29
CC-2026-060,QMS,Warehouse,High,Closed,Equipment,A Patel,2025-06-27,2025-07-17
CC-2026-061,DMS,Warehouse,Medium,In Progress,Documentation,P Modi,2025-06-30,2025-07-29
CC-2026-062,DMS,QA,Critical,Approved,Equipment,C Chaudhari,2025-07-03,2025-07-26
CC-2026-063,QMS,QA,High,Implemented,Equipment,M Parmar,2025-07-06,2025-07-25
CC-2026-064,DMS,IT,Medium,Approved,Documentation,K Raman,2025-07-09,2025-07-12
CC-2026-065,QMS,Production,Medium,Approved,Documentation,R Shah,2025-07-12,2025-08-01
CC-2026-066,MES,Warehouse,Critical,Open,Equipment,P Modi,2025-07-15,2025-08-13
CC-2026-067,TrackWise,Engineering,High,Open,Process,K Raman,2025-07-18,2025-07-20
CC-2026-068,LIMS,QA,High,Closed,System,K Raman,2025-07-21,2025-08-20
CC-2026-069,QMS,Engineering,High,In Progress,System,C Chaudhari,2025-07-24,2025-08-11
CC-2026-070,QMS,QC,Low,Implemented,Equipment,M Parmar,2025-07-27,2025-08-23
CC-2026-071,MES,Engineering,High,Implemented,Process,K Raman,2025-07-30,2025-08-11
CC-2026-072,LIMS,IT,Critical,Open,Documentation,M Parmar,2025-08-02,2025-08-05
CC-2026-073,SAP,Production,Medium,In Progress,System,A Patel,2025-08-05,2025-08-22
CC-2026-074,MES,Engineering,Critical,In Progress,Documentation,P Modi,2025-08-08,2025-08-29
CC-2026-075,LIMS,Warehouse,Low,Closed,Process,R Shah,2025-08-11,2025-08-31
CC-2026-076,eBMR,QC,Low,Implemented,System,A Patel,2025-08-14,2025-08-23
CC-2026-077,eBMR,QC,Low,In Progress,Process,C Chaudhari,2025-08-17,2025-08-23
CC-2026-078,DMS,QC,High,Approved,System,A Patel,2025-08-20,2025-08-25
CC-2026-079,SAP,QC,Low,Open,Equipment,M Parmar,2025-08-23,2025-09-02
CC-2026-080,QMS,QA,Low,In Progress,Documentation,R Shah,2025-08-26,2025-08-30
CC-2026-081,eBMR,Warehouse,Low,Implemented,System,R Shah,2025-08-29,2025-09-17
CC-2026-082,MES,QA,Low,Open,Documentation,K Raman,2025-09-01,2025-09-16
CC-2026-083,SAP,QC,High,Open,Documentation,A Patel,2025-09-04,2025-10-04
CC-2026-084,SAP,QC,Low,Implemented,System,C Chaudhari,2025-09-07,2025-09-21
CC-2026-085,DMS,Production,High,Implemented,Documentation,A Patel,2025-09-10,2025-09-29
CC-2026-086,ERP,Production,Medium,Closed,Process,M Parmar,2025-09-13,2025-10-11
CC-2026-087,DMS,IT,Critical,In Progress,Process,C Chaudhari,2025-09-16,2025-10-01
CC-2026-088,DMS,QC,Medium,Approved,System,R Shah,2025-09-19,2025-09-24
CC-2026-089,MES,Warehouse,Medium,In Progress,Equipment,R Shah,2025-09-22,2025-10-04
CC-2026-090,ERP,Production,Critical,Closed,Documentation,M Parmar,2025-09-25,2025-10-19
CC-2026-091,MES,QA,Medium,Open,Documentation,K Raman,2025-09-28,2025-10-03
CC-2026-092,TrackWise,Production,Medium,Implemented,System,R Shah,2025-10-01,2025-10-17
CC-2026-093,SAP,Engineering,Medium,In Progress,Documentation,R Shah,2025-10-04,2025-10-31
CC-2026-094,DMS,IT,High,Closed,Process,A Patel,2025-10-07,2025-10-26
CC-2026-095,DMS,Engineering,Low,Closed,Documentation,K Raman,2025-10-10,2025-10-21
CC-2026-096,TrackWise,IT,High,Implemented,Documentation,R Shah,2025-10-13,2025-11-12
CC-2026-097,SAP,Warehouse,Medium,In Progress,Equipment,P Modi,2025-10-16,2025-11-04
CC-2026-098,eBMR,QC,Low,Open,Documentation,A Patel,2025-10-19,2025-10-28
CC-2026-099,TrackWise,Engineering,Critical,In Progress,Equipment,R Shah,2025-10-22,2025-11-13
CC-2026-100,SAP,QC,High,Open,Process,C Chaudhari,2025-10-25,2025-11-19
